100mg/mLtime,100 mg/mL PNPP,50mg/mLtime,50mg/mL PNPP,500mg/mL PNPP run 1,500mg/mLPNPP run 2 tim,500mg/mL PNPP run 2
0,0,0,0.001,0,0,0
2,0,2,0.002,0,2,0
4,0,4,0.002,0,5,0
6,0,7,0.004,0,7,0
8,0,9,0.003,0,9,0
10,0,11,0.002,0,12,0
12,0,13,0.002,0,14,0
14,0,15,0.002,0,16,0
16,0,17,0,0,19,0
18,0,20,0,0,21,0
20,0,22,0,0,23,0
22,0,24,0,0,26,0
24,0,26,0,0,28,0
26,0,28,0,0,31,0
28,0,31,0,0,33,0
30,0,33,0,0,35,0
32,0,35,0,0,38,0
34,0,37,0,0,40,0
36,0.229,39,0,0,42,0
38,0.683,42,0,0,45,0
40,0.69,44,0,0,47,0
42,0.729,46,0,0,49,0
44,0.766,48,0,0,52,0
46,0.82,50,0,0,54,0
48,0.923,52,0,0,56,0
50,1.075,55,0,0,59,0
53,1.173,57,1.818,0,61,0
55,1.218,59,1.877,0,63,0
57,1.291,61,1.956,0.751,66,1.324
59,1.4,63,1.974,1.143,68,1.457
61,1.51,66,2.019,1.293,70,1.613
63,1.606,68,2.063,1.426,73,1.664
65,1.697,70,2.001,1.557,75,1.75
67,1.751,72,2.051,1.649,78,1.735
69,1.796,74,2.071,1.657,80,1.777
71,1.845,76,2.076,1.766,82,1.814
73,1.859,79,2.069,1.787,85,1.826
75,1.918,81,2.069,1.755,87,1.822
77,1.927,83,2.103,1.836,89,1.876
79,1.967,85,2.069,1.802,92,1.859
81,1.925,87,2.078,1.806,94,1.863
83,1.964,90,2.135,1.806,96,1.829
85,2.02,92,2.052,1.814,99,1.837
87,2.021,94,2.107,1.793,101,1.86
89,2.009,96,2.094,1.846,103,1.821
91,2.017,98,2.107,1.808,106,1.841
93,2.036,101,2.094,1.85,108,1.856
95,2.011,103,2.071,1.822,110,1.83
97,2.012,105,2.12,1.826,113,1.839
99,2.052,107,2.061,1.83,115,1.842
101,2.02,109,2.064,1.84,117,1.889
103,2.037,111,2.151,1.807,120,1.816
105,2.03,114,2.127,1.855,122,1.883
107,2.003,116,2.108,1.887,124,1.862
109,2.071,118,2.068,1.819,127,1.865
111,2.063,120,2.097,1.842,129,1.859
113,2.107,122,2.067,1.882,132,1.878
115,2.018,125,2.087,1.862,134,1.85
117,2.04,127,2.141,1.852,136,1.84
119,2.023,129,2.085,1.861,139,1.835
121,2.074,131,2.079,1.819,,
123,2.065,133,2.081,1.862,,
125,2.006,135,2.082,1.846,,
127,2.026,138,2.056,1.831,,
129,2.028,140,2.068,1.922,,
131,2.075,142,2.108,1.842,,
133,2.009,144,2.114,1.838,,
135,2.034,146,2.104,1.819,,
137,2.055,149,2.052,1.843,,
139,2.019,151,2.097,1.874,,
141,2.033,153,2.117,1.838,,
143,2.076,155,2.134,1.855,,
145,2.095,157,2.126,1.823,,
147,2.072,160,2.044,1.888,,
149,2.077,162,2.102,1.835,,
151,2.038,164,2.076,1.8,,
153,2.038,166,2.124,1.851,,
155,2.007,168,2.078,1.846,,
158,2.064,170,2.09,1.872,,
160,2.059,173,2.094,,,
162,2.049,175,2.077,,,
164,2.064,177,2.126,,,
166,2.087,179,2.115,,,
168,2.054,181,2.095,,,
170,2.035,184,2.109,,,
172,2.05,186,2.086,,,
174,2.057,188,2.115,,,
176,2.047,190,2.079,,,
178,2.066,192,2.093,,,
180,2.08,194,2.12,,,
182,2.095,197,2.088,,,
184,1.992,199,2.125,,,
186,2.003,,,,,
188,2.066,,,,,
190,2.08,,,,,
192,2.093,,,,,
194,2.054,,,,,
196,1.997,,,,,
198,2.013,,,,,
200,2.018,,,,,